2024-07-06T16:00:39-05:00
Running /Users/tnie/code/cpp/fftconv/build/clang-release/benchmark/bench_fftconv
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 1.79, 3.82, 3.81
-----------------------------------------------------------------------------
Benchmark                                   Time             CPU   Iterations
BM_arma_conv_same<double>/1000/35       10013 ns         9768 ns        78325
BM_arma_conv_same<double>/1664/35       14641 ns        14600 ns        48733
BM_arma_conv_same<double>/2304/35       20487 ns        20412 ns        35797
BM_arma_conv_same<double>/2816/35       24566 ns        24416 ns        29318
BM_arma_conv_same<double>/3326/35       29349 ns        29219 ns        23695
BM_arma_conv_same<double>/4352/35       38392 ns        38238 ns        19074
BM_arma_conv_same<double>/1000/65       12025 ns        11991 ns        60987
BM_arma_conv_same<double>/1664/65       19513 ns        19454 ns        37313
BM_arma_conv_same<double>/2304/65       25381 ns        25307 ns        27987
BM_arma_conv_same<double>/2816/65       30498 ns        30396 ns        21470
BM_arma_conv_same<double>/3326/65       39582 ns        39453 ns        19501
BM_arma_conv_same<double>/4352/65       48531 ns        48395 ns        14640
BM_arma_conv_same<double>/1000/95       16558 ns        16512 ns        42236
BM_arma_conv_same<double>/1664/95       25866 ns        25771 ns        26226
BM_arma_conv_same<double>/2304/95       36539 ns        36435 ns        19115
BM_arma_conv_same<double>/2816/95       43938 ns        43752 ns        15743
BM_arma_conv_same<double>/3326/95       50436 ns        50349 ns        10000
BM_arma_conv_same<double>/4352/95       66937 ns        66748 ns        10706
BM_arma_conv_same<float>/1000/15         4525 ns         4512 ns       156163
BM_arma_conv_same<float>/1664/15         7417 ns         7398 ns        94332
BM_arma_conv_same<float>/2304/15        10219 ns        10194 ns        68613
BM_arma_conv_same<float>/2816/15        12430 ns        12391 ns        56436
BM_arma_conv_same<float>/3326/15        14649 ns        14597 ns        47979
BM_arma_conv_same<float>/4352/15        19137 ns        19080 ns        36785
BM_arma_conv_same<float>/1000/35        40672 ns        40560 ns        17254
BM_arma_conv_same<float>/1664/35        66745 ns        66532 ns        10447
BM_arma_conv_same<float>/2304/35        93482 ns        92816 ns         7632
BM_arma_conv_same<float>/2816/35       111865 ns       111558 ns         6271
BM_arma_conv_same<float>/3326/35       131951 ns       131495 ns         5326
BM_arma_conv_same<float>/4352/35       172173 ns       171605 ns         4083
BM_arma_conv_same<float>/1000/65        54774 ns        54624 ns        11076
BM_arma_conv_same<float>/1664/65        88878 ns        88603 ns         7882
BM_arma_conv_same<float>/2304/65       121747 ns       121387 ns         5763
BM_arma_conv_same<float>/2816/65       148056 ns       147602 ns         4719
BM_arma_conv_same<float>/3326/65       174128 ns       173648 ns         4033
BM_arma_conv_same<float>/4352/65       227685 ns       226709 ns         3098
BM_arma_conv_same<float>/1000/95        69367 ns        69179 ns        10072
BM_arma_conv_same<float>/1664/95       111421 ns       111092 ns         6294
BM_arma_conv_same<float>/2304/95       155876 ns       154333 ns         4621
BM_arma_conv_same<float>/2816/95       184452 ns       183825 ns         3811
BM_arma_conv_same<float>/3326/95       216723 ns       215990 ns         3243
BM_arma_conv_same<float>/4352/95       281641 ns       280731 ns         2496
